dataset,rtimeinst,rtime3,rtime2000
openstack,91.928482,30.642827,0.050008
openstack,108.223027,36.074342,0.05993
openstack,101.828331,33.942777,0.053417
openstack,70.463898,23.487966,0.038753
openstack,92.345481,30.781827,0.051309
openstack,101.613379,33.871126,0.054458
openstack,81.529731,27.176577,0.044767
openstack,116.221978,38.740659,0.061834
openstack,65.605562,21.868521,0.034209
openstack,104.474203,34.824734,0.054963
openstack,102.596516,34.198839,0.056589
openstack,74.213179,24.737726,0.041505
openstack,65.586411,21.862137,0.036395
openstack,112.674803,37.558268,0.061312
openstack,48.789226,16.263075,0.026292
openstack,106.167367,35.389122,0.0558
openstack,44.211662,14.737221,0.024731
openstack,59.766542,19.922181,0.032767
openstack,90.796042,30.265347,0.050796
openstack,113.459028,37.819676,0.059463
openstack,125.871453,41.957151,0.067655
openstack,87.242198,29.080733,0.048113
openstack,112.384844,37.461615,0.059824
openstack,130.623992,43.541331,0.070321
openstack,103.158044,34.386015,0.054995
openstack,72.148094,24.049365,0.038612
openstack,73.727007,24.575669,0.039985
openstack,57.20771,19.069237,0.031526
openstack,77.87399,25.957997,0.040618
openstack,108.708993,36.236331,0.058663
openstack,109.048607,36.349536,0.060273
openstack,57.481052,19.160351,0.032264
openstack,96.480754,32.160251,0.053754
openstack,105.92235,35.30745,0.058604
openstack,79.837484,26.612495,0.043967
openstack,64.079613,21.359871,0.033646
openstack,110.011648,36.670549,0.059269
openstack,81.51416,27.171387,0.045943
openstack,112.532089,37.510696,0.060648
openstack,54.818228,18.272743,0.028366
openstack,35.599872,11.866624,0.019654
openstack,105.84453,35.28151,0.056728
openstack,114.18508,38.061693,0.060299
openstack,7.972694,2.657565,0.004217
openstack,97.638907,32.546302,0.051418
openstack,91.600651,30.53355,0.051511
openstack,85.939029,28.646343,0.0475
openstack,87.899573,29.299858,0.047699
openstack,79.978138,26.659379,0.041918
openstack,74.035146,24.678382,0.040396
openstack,100.330825,33.443608,0.053611
openstack,86.697362,28.899121,0.047403
openstack,76.567507,25.522502,0.043854
openstack,97.130782,32.376927,0.054161
openstack,110.135846,36.711949,0.058543
openstack,92.34742,30.782473,0.051335
openstack,73.142132,24.380711,0.042075
openstack,87.759089,29.25303,0.049027
openstack,99.311541,33.103847,0.053177
openstack,91.979881,30.65996,0.049631
openstack,122.334594,40.778198,0.066239
openstack,76.167607,25.389202,0.041821
openstack,108.145704,36.048568,0.058954
openstack,92.280304,30.760101,0.050742
openstack,41.699581,13.89986,0.023435
openstack,100.763216,33.587739,0.055529
openstack,106.089083,35.363028,0.056967
openstack,84.472777,28.157592,0.047315
openstack,34.198326,11.399442,0.018702
openstack,106.379615,35.459872,0.057063
openstack,69.556162,23.185387,0.040286
openstack,114.410661,38.136887,0.060847
