dataset,rtimeinst,rtime3,rtime2000
openstack,40.754447,13.584816,0.020578
openstack,42.596905,14.198968,0.021627
openstack,38.701752,12.900584,0.019785
openstack,38.394185,12.798062,0.01945
openstack,35.213077,11.737692,0.017962
openstack,35.105682,11.701894,0.018111
openstack,33.506824,11.168941,0.01714
openstack,34.943564,11.647855,0.017914
openstack,49.909633,16.636544,0.025348
openstack,38.470001,12.823334,0.019483
openstack,32.788298,10.929433,0.016577
openstack,35.055835,11.685278,0.017697
openstack,45.752567,15.250856,0.023191
openstack,36.060906,12.020302,0.018119
openstack,36.922402,12.307467,0.019057
openstack,40.832035,13.610678,0.020669
openstack,42.704788,14.234929,0.021579
openstack,8.98055,2.993517,0.00452
openstack,34.476076,11.492025,0.017506
openstack,41.169736,13.723245,0.020731
openstack,36.469021,12.15634,0.018573
openstack,38.357646,12.785882,0.019423
openstack,39.20114,13.067047,0.01998
openstack,33.93223,11.310743,0.017502
openstack,42.051172,14.017057,0.021099
openstack,36.761208,12.253736,0.018622
openstack,37.748906,12.582969,0.019435
openstack,39.617965,13.205988,0.020299
openstack,35.829726,11.943242,0.018139
openstack,41.947978,13.982659,0.021069
openstack,40.885669,13.628556,0.020603
openstack,40.429837,13.476612,0.020459
openstack,43.480276,14.493425,0.021898
openstack,35.294297,11.764766,0.017921
openstack,43.34046,14.44682,0.021901
openstack,42.520774,14.173591,0.021382
openstack,43.431986,14.477329,0.021802
openstack,40.773562,13.591187,0.020653
openstack,46.26816,15.42272,0.023413
openstack,34.995219,11.665073,0.017669
openstack,38.434073,12.811358,0.019782
openstack,45.769482,15.256494,0.023099
openstack,44.570043,14.856681,0.022596
openstack,41.32892,13.776307,0.021168
openstack,47.26147,15.753823,0.02428
openstack,40.455761,13.485254,0.020619
openstack,44.637209,14.87907,0.022599
openstack,36.408852,12.136284,0.018688
openstack,9.773414,3.257805,0.004987
openstack,46.046855,15.348952,0.023386
openstack,43.390676,14.463559,0.021959
openstack,39.140369,13.04679,0.019808
openstack,41.036554,13.678851,0.020845
openstack,41.979028,13.993009,0.021276
openstack,38.742586,12.914195,0.019506
openstack,43.064002,14.354667,0.021863
openstack,10.155527,3.385176,0.005114
openstack,43.994781,14.664927,0.022315
openstack,42.71732,14.239107,0.021598
openstack,42.418257,14.139419,0.021399
openstack,31.83688,10.612293,0.016244
openstack,32.50471,10.834903,0.016802
openstack,42.324449,14.10815,0.021446
openstack,44.785398,14.928466,0.022745
openstack,34.604801,11.534934,0.017427
openstack,22.154513,7.384838,0.011352
openstack,37.469406,12.489802,0.019044
openstack,47.733403,15.911134,0.024156
openstack,36.397901,12.132634,0.018346
openstack,38.065008,12.688336,0.019277
openstack,34.218771,11.406257,0.017348
openstack,38.16728,12.722427,0.019262
openstack,38.110848,12.703616,0.019412
openstack,34.360368,11.453456,0.017245
openstack,40.112877,13.370959,0.02042
openstack,36.110707,12.036902,0.018479
openstack,37.682356,12.560785,0.019308
openstack,9.998699,3.3329,0.005056
openstack,25.90093,8.633643,0.013237
openstack,37.671021,12.557007,0.019002
openstack,38.624333,12.874778,0.019607
openstack,43.407789,14.469263,0.022039
openstack,34.701622,11.567207,0.017594
openstack,38.922947,12.974316,0.019752
openstack,41.547752,13.849251,0.021188
openstack,36.787581,12.262527,0.018678
openstack,41.468623,13.822874,0.021247
openstack,33.949409,11.31647,0.017107
openstack,44.160474,14.720158,0.022152
openstack,38.084289,12.694763,0.019498
openstack,34.385345,11.461782,0.017486
openstack,44.280511,14.76017,0.022251
openstack,37.757301,12.585767,0.01934
openstack,38.740067,12.913356,0.019502
openstack,39.719278,13.239759,0.020131
openstack,51.764382,17.254794,0.02641
openstack,34.400224,11.466741,0.017494
openstack,38.274436,12.758145,0.019409
openstack,42.239243,14.079748,0.021168
openstack,29.943046,9.981015,0.015364
openstack,37.732012,12.577337,0.019051
openstack,36.917607,12.305869,0.018867
openstack,41.02714,13.675713,0.020566
openstack,9.382278,3.127426,0.004735
openstack,37.566238,12.522079,0.019126
openstack,31.291858,10.430619,0.015755
openstack,37.170394,12.390131,0.018859
openstack,31.744817,10.581606,0.015929
openstack,42.20271,14.06757,0.021298
openstack,42.636548,14.212183,0.02141
openstack,39.41569,13.138563,0.020085
openstack,41.073252,13.691084,0.020791
openstack,40.362726,13.454242,0.020513
openstack,44.668967,14.889656,0.022688
openstack,40.085374,13.361791,0.020278
openstack,36.17329,12.057763,0.018607
openstack,37.579257,12.526419,0.019154
openstack,29.140729,9.713576,0.014626
openstack,34.472598,11.490866,0.017352
openstack,34.306543,11.435514,0.017427
openstack,39.445406,13.148469,0.020157
openstack,39.450093,13.150031,0.019965
openstack,31.263808,10.421269,0.015643
openstack,31.072976,10.357659,0.015688
openstack,42.997825,14.332608,0.021838
openstack,39.834451,13.27815,0.020329
openstack,40.1554,13.385133,0.020458
openstack,39.165332,13.055111,0.019711
openstack,35.630731,11.87691,0.017988
openstack,40.540419,13.513473,0.020832
openstack,40.200658,13.400219,0.020285
openstack,9.985437,3.328479,0.005073
openstack,37.218929,12.40631,0.019074
openstack,38.26652,12.755507,0.019363
openstack,42.878175,14.292725,0.021864
openstack,38.433998,12.811333,0.019531
openstack,34.643847,11.547949,0.017657
openstack,35.436109,11.812036,0.018135
openstack,39.747441,13.249147,0.020244
openstack,40.323852,13.441284,0.020686
openstack,31.337927,10.445976,0.015738
openstack,40.720167,13.573389,0.020735
openstack,38.350322,12.783441,0.01949
openstack,35.364774,11.788258,0.018033
openstack,27.497853,9.165951,0.013771
openstack,35.358167,11.786056,0.017938
openstack,41.200096,13.733365,0.021126
openstack,41.768649,13.922883,0.021278
openstack,37.064485,12.354828,0.018767
openstack,38.819004,12.939668,0.019568
openstack,39.848338,13.282779,0.020341
openstack,37.511754,12.503918,0.018841
openstack,37.436189,12.47873,0.019149
openstack,41.372926,13.790975,0.021133
