dataset,rtimeinst,rtime
openstack,0.034447,0.034447
openstack,0.036521,0.036521
openstack,0.0374,0.0374
openstack,0.036688,0.036688
openstack,0.03671,0.03671
openstack,0.036655,0.036655
openstack,0.036672,0.036672
qt,0.037377,0.037377
qt,0.03791,0.03791
qt,0.038044,0.038044
qt,0.038169,0.038169
qt,0.038086,0.038086
qt,0.038117,0.038117
qt,0.037072,0.037072
qt,0.038274,0.038274
qt,0.038052,0.038052
qt,0.038032,0.038032
qt,0.037961,0.037961
qt,0.037909,0.037909
qt,0.03793,0.03793
qt,0.038204,0.038204
qt,0.038034,0.038034
qt,0.038166,0.038166
qt,0.037889,0.037889
qt,0.038011,0.038011
qt,0.038024,0.038024
qt,0.037877,0.037877
qt,0.037252,0.037252
qt,0.037702,0.037702
qt,0.037656,0.037656
qt,0.037365,0.037365
qt,0.037638,0.037638
qt,0.0358,0.0358
qt,0.037344,0.037344
qt,0.037335,0.037335
qt,0.037575,0.037575
qt,0.037452,0.037452
qt,0.037643,0.037643
qt,0.037365,0.037365
qt,0.037541,0.037541
qt,0.037366,0.037366
qt,0.037396,0.037396
qt,0.037251,0.037251
qt,0.037437,0.037437
qt,0.037401,0.037401
qt,0.037599,0.037599
qt,0.037348,0.037348
qt,0.037262,0.037262
qt,0.037353,0.037353
qt,0.037374,0.037374
qt,0.037462,0.037462
qt,0.037469,0.037469
qt,0.037362,0.037362
qt,0.036023,0.036023
qt,0.037524,0.037524
qt,0.037525,0.037525
qt,0.037492,0.037492
qt,0.0373,0.0373
qt,0.037536,0.037536
qt,0.037526,0.037526
qt,0.037502,0.037502
qt,0.037459,0.037459
qt,0.037744,0.037744
qt,0.037449,0.037449
qt,0.037371,0.037371
qt,0.037488,0.037488
qt,0.037318,0.037318
qt,0.037321,0.037321
qt,0.037347,0.037347
qt,0.037589,0.037589
qt,0.037345,0.037345
qt,0.037537,0.037537
qt,0.03746,0.03746
qt,0.03753,0.03753
qt,0.037511,0.037511
qt,0.037409,0.037409
qt,0.037205,0.037205
qt,0.037572,0.037572
qt,0.037619,0.037619
qt,0.037597,0.037597
qt,0.03748,0.03748
qt,0.037412,0.037412
qt,0.037395,0.037395
qt,0.037389,0.037389
qt,0.037486,0.037486
qt,0.037505,0.037505
qt,0.037462,0.037462
qt,0.037384,0.037384
qt,0.037437,0.037437
qt,0.0376,0.0376
qt,0.037512,0.037512
qt,0.037443,0.037443
qt,0.037355,0.037355
qt,0.037369,0.037369
qt,0.037343,0.037343
qt,0.037403,0.037403
qt,0.037656,0.037656
qt,0.037293,0.037293
qt,0.037401,0.037401
qt,0.037574,0.037574
qt,0.037401,0.037401
qt,0.03694,0.03694
qt,0.036424,0.036424
qt,0.037105,0.037105
qt,0.03704,0.03704
qt,0.03693,0.03693
qt,0.037131,0.037131
qt,0.037235,0.037235
qt,0.037075,0.037075
qt,0.037151,0.037151
qt,0.037207,0.037207
qt,0.037116,0.037116
qt,0.037233,0.037233
qt,0.037443,0.037443
qt,0.037155,0.037155
qt,0.037015,0.037015
qt,0.036948,0.036948
qt,0.036993,0.036993
qt,0.037133,0.037133
qt,0.037168,0.037168
qt,0.037,0.037
qt,0.036981,0.036981
qt,0.037331,0.037331
qt,0.037057,0.037057
qt,0.037082,0.037082
qt,0.036966,0.036966
qt,0.037082,0.037082
qt,0.036849,0.036849
qt,0.036894,0.036894
qt,0.036805,0.036805
qt,0.037025,0.037025
qt,0.037122,0.037122
qt,0.037303,0.037303
qt,0.036927,0.036927
qt,0.036882,0.036882
qt,0.036946,0.036946
qt,0.036949,0.036949
qt,0.03707,0.03707
qt,0.037399,0.037399
qt,0.037279,0.037279
qt,0.037596,0.037596
qt,0.037404,0.037404
qt,0.037515,0.037515
qt,0.037619,0.037619
qt,0.0357,0.0357
qt,0.037267,0.037267
qt,0.037367,0.037367
qt,0.037395,0.037395
qt,0.03756,0.03756
qt,0.037273,0.037273
qt,0.037507,0.037507
qt,0.035645,0.035645
qt,0.037357,0.037357
qt,0.037116,0.037116
qt,0.037664,0.037664
qt,0.037284,0.037284
qt,0.037193,0.037193
qt,0.037321,0.037321
qt,0.037798,0.037798
qt,0.037897,0.037897
qt,0.03833,0.03833
qt,0.037431,0.037431
qt,0.038197,0.038197
qt,0.038101,0.038101
qt,0.035418,0.035418
qt,0.037601,0.037601
qt,0.037206,0.037206
qt,0.037236,0.037236
qt,0.035273,0.035273
qt,0.037371,0.037371
qt,0.037761,0.037761
qt,0.038366,0.038366
qt,0.038931,0.038931
qt,0.037482,0.037482
qt,0.037167,0.037167
qt,0.037057,0.037057
qt,0.037223,0.037223
qt,0.037118,0.037118
qt,0.037092,0.037092
qt,0.037155,0.037155
qt,0.037063,0.037063
qt,0.037144,0.037144
qt,0.03733,0.03733
qt,0.037133,0.037133
qt,0.037143,0.037143
qt,0.03726,0.03726
qt,0.037323,0.037323
qt,0.037728,0.037728
qt,0.037088,0.037088
qt,0.037388,0.037388
qt,0.037107,0.037107
qt,0.037252,0.037252
qt,0.035059,0.035059
qt,0.03714,0.03714
qt,0.036973,0.036973
qt,0.03703,0.03703
qt,0.037029,0.037029
qt,0.036867,0.036867
qt,0.037101,0.037101
qt,0.036709,0.036709
qt,0.036675,0.036675
qt,0.036898,0.036898
qt,0.036722,0.036722
qt,0.036536,0.036536
qt,0.036512,0.036512
qt,0.036457,0.036457
qt,0.036692,0.036692
qt,0.035036,0.035036
qt,0.036869,0.036869
qt,0.037051,0.037051
qt,0.037141,0.037141
qt,0.036851,0.036851
qt,0.036761,0.036761
qt,0.036652,0.036652
qt,0.036554,0.036554
qt,0.03654,0.03654
qt,0.036565,0.036565
qt,0.036354,0.036354
qt,0.036752,0.036752
qt,0.036804,0.036804
qt,0.036817,0.036817
qt,0.036667,0.036667
qt,0.036663,0.036663
qt,0.036505,0.036505
qt,0.03655,0.03655
qt,0.036674,0.036674
qt,0.036584,0.036584
qt,0.03685,0.03685
qt,0.036467,0.036467
qt,0.036602,0.036602
qt,0.036442,0.036442
qt,0.036903,0.036903
