dataset,rtimeinst,rtime
openstack,0.010294,0.010294
openstack,0.010293,0.010293
openstack,0.010282,0.010282
openstack,0.010355,0.010355
openstack,0.010348,0.010348
openstack,0.010337,0.010337
openstack,0.010347,0.010347
openstack,0.010304,0.010304
openstack,0.010257,0.010257
openstack,0.010257,0.010257
openstack,0.010263,0.010263
openstack,0.01032,0.01032
openstack,0.010289,0.010289
openstack,0.01032,0.01032
openstack,0.010308,0.010308
openstack,0.010247,0.010247
openstack,0.010244,0.010244
openstack,0.010326,0.010326
openstack,0.010251,0.010251
openstack,0.010216,0.010216
openstack,0.010284,0.010284
openstack,0.010416,0.010416
openstack,0.010203,0.010203
openstack,0.01029,0.01029
openstack,0.0102,0.0102
openstack,0.010285,0.010285
openstack,0.010239,0.010239
openstack,0.010306,0.010306
openstack,0.010334,0.010334
openstack,0.010218,0.010218
openstack,0.010257,0.010257
openstack,0.01019,0.01019
openstack,0.010251,0.010251
openstack,0.010194,0.010194
openstack,0.010205,0.010205
openstack,0.010253,0.010253
openstack,0.010243,0.010243
openstack,0.010266,0.010266
openstack,0.010299,0.010299
openstack,0.010275,0.010275
openstack,0.010248,0.010248
openstack,0.010177,0.010177
openstack,0.010254,0.010254
openstack,0.010394,0.010394
openstack,0.010356,0.010356
openstack,0.01031,0.01031
openstack,0.010225,0.010225
openstack,0.010315,0.010315
openstack,0.010185,0.010185
openstack,0.010283,0.010283
openstack,0.010342,0.010342
openstack,0.010469,0.010469
openstack,0.010242,0.010242
openstack,0.010342,0.010342
openstack,0.0102,0.0102
openstack,0.010271,0.010271
openstack,0.010389,0.010389
openstack,0.010381,0.010381
openstack,0.010419,0.010419
openstack,0.01025,0.01025
openstack,0.010406,0.010406
openstack,0.010301,0.010301
openstack,0.010334,0.010334
openstack,0.01034,0.01034
openstack,0.010319,0.010319
openstack,0.010385,0.010385
openstack,0.010181,0.010181
openstack,0.01036,0.01036
openstack,0.01023,0.01023
openstack,0.010263,0.010263
openstack,0.010188,0.010188
openstack,0.010326,0.010326
openstack,0.010187,0.010187
openstack,0.010234,0.010234
openstack,0.010201,0.010201
openstack,0.010279,0.010279
openstack,0.010196,0.010196
openstack,0.010229,0.010229
openstack,0.010204,0.010204
openstack,0.010309,0.010309
openstack,0.010172,0.010172
openstack,0.010271,0.010271
openstack,0.010264,0.010264
openstack,0.010261,0.010261
openstack,0.010299,0.010299
openstack,0.010274,0.010274
openstack,0.010301,0.010301
openstack,0.010208,0.010208
openstack,0.010351,0.010351
openstack,0.010331,0.010331
openstack,0.010285,0.010285
openstack,0.010282,0.010282
openstack,0.010235,0.010235
openstack,0.010237,0.010237
openstack,0.010294,0.010294
openstack,0.010223,0.010223
openstack,0.01028,0.01028
openstack,0.010315,0.010315
openstack,0.010324,0.010324
openstack,0.010241,0.010241
openstack,0.010294,0.010294
openstack,0.010278,0.010278
openstack,0.010308,0.010308
openstack,0.010416,0.010416
openstack,0.010289,0.010289
openstack,0.010317,0.010317
openstack,0.010287,0.010287
openstack,0.010393,0.010393
openstack,0.010299,0.010299
openstack,0.0103,0.0103
openstack,0.010327,0.010327
openstack,0.010259,0.010259
openstack,0.010274,0.010274
openstack,0.010207,0.010207
openstack,0.010285,0.010285
openstack,0.010378,0.010378
openstack,0.010232,0.010232
openstack,0.010191,0.010191
openstack,0.010259,0.010259
openstack,0.010312,0.010312
openstack,0.010204,0.010204
openstack,0.010346,0.010346
openstack,0.010251,0.010251
openstack,0.010297,0.010297
openstack,0.010314,0.010314
openstack,0.010361,0.010361
openstack,0.01035,0.01035
openstack,0.010307,0.010307
openstack,0.010474,0.010474
openstack,0.010287,0.010287
openstack,0.010425,0.010425
openstack,0.010425,0.010425
openstack,0.010468,0.010468
openstack,0.010349,0.010349
openstack,0.010407,0.010407
openstack,0.0104,0.0104
openstack,0.010325,0.010325
openstack,0.010489,0.010489
openstack,0.010425,0.010425
openstack,0.010471,0.010471
openstack,0.010432,0.010432
openstack,0.010326,0.010326
openstack,0.01052,0.01052
openstack,0.010381,0.010381
openstack,0.010485,0.010485
openstack,0.010348,0.010348
openstack,0.010509,0.010509
openstack,0.010448,0.010448
openstack,0.01034,0.01034
openstack,0.010377,0.010377
openstack,0.010267,0.010267
openstack,0.010401,0.010401
openstack,0.010362,0.010362
openstack,0.010313,0.010313
openstack,0.010383,0.010383
openstack,0.010322,0.010322
openstack,0.010387,0.010387
openstack,0.010281,0.010281
openstack,0.010403,0.010403
openstack,0.010369,0.010369
qt,0.010883,0.010883
qt,0.011492,0.011492
qt,0.011533,0.011533
qt,0.011587,0.011587
qt,0.011516,0.011516
qt,0.011379,0.011379
qt,0.011444,0.011444
qt,0.011577,0.011577
qt,0.011381,0.011381
qt,0.011376,0.011376
qt,0.011377,0.011377
qt,0.01145,0.01145
qt,0.011502,0.011502
qt,0.011256,0.011256
qt,0.011556,0.011556
qt,0.011639,0.011639
qt,0.011442,0.011442
qt,0.011646,0.011646
qt,0.011475,0.011475
qt,0.011437,0.011437
qt,0.011579,0.011579
qt,0.011478,0.011478
qt,0.011531,0.011531
qt,0.011566,0.011566
qt,0.011428,0.011428
qt,0.011538,0.011538
qt,0.011546,0.011546
qt,0.011596,0.011596
qt,0.01141,0.01141
qt,0.011378,0.011378
qt,0.011557,0.011557
qt,0.011422,0.011422
qt,0.011456,0.011456
qt,0.011456,0.011456
qt,0.011432,0.011432
qt,0.0113,0.0113
qt,0.011808,0.011808
qt,0.011468,0.011468
qt,0.011367,0.011367
qt,0.011366,0.011366
qt,0.01175,0.01175
qt,0.011466,0.011466
qt,0.011361,0.011361
qt,0.011497,0.011497
qt,0.011324,0.011324
qt,0.011362,0.011362
qt,0.011468,0.011468
qt,0.011524,0.011524
qt,0.011517,0.011517
qt,0.011371,0.011371
qt,0.011255,0.011255
qt,0.011409,0.011409
qt,0.011445,0.011445
qt,0.011289,0.011289
qt,0.011461,0.011461
qt,0.011486,0.011486
qt,0.011516,0.011516
qt,0.011406,0.011406
qt,0.01137,0.01137
qt,0.011432,0.011432
qt,0.011487,0.011487
qt,0.011289,0.011289
qt,0.011505,0.011505
qt,0.01134,0.01134
qt,0.011435,0.011435
qt,0.011321,0.011321
qt,0.011354,0.011354
qt,0.011328,0.011328
qt,0.0114,0.0114
qt,0.011194,0.011194
qt,0.011149,0.011149
qt,0.011378,0.011378
qt,0.011403,0.011403
qt,0.011259,0.011259
qt,0.011203,0.011203
qt,0.011252,0.011252
qt,0.011148,0.011148
qt,0.01122,0.01122
qt,0.011284,0.011284
qt,0.011082,0.011082
qt,0.01131,0.01131
qt,0.011168,0.011168
qt,0.011397,0.011397
qt,0.011206,0.011206
qt,0.011154,0.011154
qt,0.01135,0.01135
qt,0.01124,0.01124
qt,0.011173,0.011173
qt,0.011262,0.011262
qt,0.011137,0.011137
qt,0.011285,0.011285
qt,0.011298,0.011298
qt,0.011304,0.011304
qt,0.011272,0.011272
qt,0.01116,0.01116
qt,0.011254,0.011254
qt,0.011242,0.011242
qt,0.011088,0.011088
qt,0.011238,0.011238
qt,0.011247,0.011247
qt,0.011241,0.011241
qt,0.011225,0.011225
qt,0.0115,0.0115
qt,0.011212,0.011212
qt,0.01132,0.01132
qt,0.011315,0.011315
qt,0.011333,0.011333
qt,0.011171,0.011171
qt,0.011297,0.011297
qt,0.011295,0.011295
qt,0.011263,0.011263
qt,0.011369,0.011369
qt,0.011246,0.011246
qt,0.011313,0.011313
qt,0.011232,0.011232
qt,0.011426,0.011426
qt,0.011261,0.011261
qt,0.011236,0.011236
qt,0.011197,0.011197
qt,0.011184,0.011184
qt,0.011233,0.011233
qt,0.011235,0.011235
qt,0.011358,0.011358
qt,0.011234,0.011234
qt,0.011289,0.011289
qt,0.011194,0.011194
qt,0.011254,0.011254
qt,0.011194,0.011194
qt,0.01139,0.01139
qt,0.011195,0.011195
qt,0.011232,0.011232
qt,0.011303,0.011303
qt,0.011158,0.011158
qt,0.011256,0.011256
qt,0.011382,0.011382
qt,0.011262,0.011262
qt,0.011401,0.011401
qt,0.011186,0.011186
qt,0.011156,0.011156
qt,0.011334,0.011334
qt,0.011239,0.011239
qt,0.011315,0.011315
qt,0.011255,0.011255
qt,0.011192,0.011192
qt,0.011318,0.011318
qt,0.011314,0.011314
qt,0.011197,0.011197
qt,0.011271,0.011271
qt,0.011137,0.011137
qt,0.011255,0.011255
qt,0.011215,0.011215
qt,0.011385,0.011385
qt,0.011322,0.011322
qt,0.011341,0.011341
qt,0.0112,0.0112
qt,0.011099,0.011099
qt,0.011272,0.011272
qt,0.011324,0.011324
qt,0.011261,0.011261
qt,0.011282,0.011282
qt,0.011281,0.011281
qt,0.011216,0.011216
qt,0.011223,0.011223
qt,0.011267,0.011267
qt,0.011132,0.011132
qt,0.011168,0.011168
qt,0.011121,0.011121
qt,0.011235,0.011235
qt,0.011275,0.011275
qt,0.011281,0.011281
qt,0.011385,0.011385
qt,0.011268,0.011268
qt,0.011251,0.011251
qt,0.011281,0.011281
qt,0.011275,0.011275
qt,0.011323,0.011323
qt,0.01142,0.01142
qt,0.011285,0.011285
qt,0.011347,0.011347
qt,0.011356,0.011356
qt,0.011391,0.011391
qt,0.01003,0.01003
qt,0.011333,0.011333
qt,0.011354,0.011354
qt,0.011292,0.011292
qt,0.011255,0.011255
qt,0.011188,0.011188
qt,0.011364,0.011364
qt,0.011269,0.011269
qt,0.011235,0.011235
qt,0.011408,0.011408
qt,0.011238,0.011238
qt,0.011415,0.011415
qt,0.01115,0.01115
qt,0.011056,0.011056
qt,0.011361,0.011361
qt,0.011188,0.011188
qt,0.01116,0.01116
qt,0.011271,0.011271
qt,0.011283,0.011283
qt,0.011359,0.011359
qt,0.011875,0.011875
qt,0.01171,0.01171
qt,0.010206,0.010206
qt,0.011489,0.011489
qt,0.011511,0.011511
qt,0.011451,0.011451
qt,0.011497,0.011497
qt,0.011489,0.011489
qt,0.011323,0.011323
qt,0.011346,0.011346
qt,0.011227,0.011227
qt,0.011206,0.011206
qt,0.011254,0.011254
qt,0.011277,0.011277
qt,0.011786,0.011786
qt,0.011452,0.011452
qt,0.011518,0.011518
qt,0.011531,0.011531
qt,0.011506,0.011506
qt,0.009985,0.009985
qt,0.011726,0.011726
qt,0.012706,0.012706
qt,0.011233,0.011233
qt,0.011388,0.011388
qt,0.011297,0.011297
qt,0.011294,0.011294
qt,0.011215,0.011215
qt,0.011249,0.011249
qt,0.011273,0.011273
qt,0.011207,0.011207
qt,0.011279,0.011279
qt,0.011253,0.011253
qt,0.011289,0.011289
qt,0.011347,0.011347
qt,0.011399,0.011399
qt,0.011131,0.011131
qt,0.011335,0.011335
qt,0.011246,0.011246
qt,0.011257,0.011257
qt,0.011191,0.011191
qt,0.01118,0.01118
qt,0.011198,0.011198
qt,0.0112,0.0112
qt,0.011267,0.011267
qt,0.011318,0.011318
qt,0.011309,0.011309
qt,0.011336,0.011336
qt,0.011309,0.011309
qt,0.011213,0.011213
qt,0.011248,0.011248
qt,0.011253,0.011253
qt,0.011203,0.011203
qt,0.011409,0.011409
qt,0.01124,0.01124
qt,0.011203,0.011203
qt,0.011342,0.011342
qt,0.011255,0.011255
qt,0.011239,0.011239
qt,0.011182,0.011182
qt,0.011041,0.011041
qt,0.011297,0.011297
qt,0.011224,0.011224
qt,0.011169,0.011169
qt,0.01133,0.01133
qt,0.01129,0.01129
qt,0.011397,0.011397
qt,0.011239,0.011239
qt,0.011211,0.011211
qt,0.011292,0.011292
qt,0.009762,0.009762
qt,0.01132,0.01132
qt,0.011187,0.011187
qt,0.01115,0.01115
qt,0.011298,0.011298
qt,0.011428,0.011428
qt,0.011279,0.011279
qt,0.011245,0.011245
qt,0.011254,0.011254
qt,0.011305,0.011305
qt,0.011301,0.011301
qt,0.011208,0.011208
qt,0.011405,0.011405
qt,0.011316,0.011316
qt,0.011426,0.011426
qt,0.011219,0.011219
qt,0.011294,0.011294
qt,0.011232,0.011232
qt,0.011173,0.011173
qt,0.011279,0.011279
qt,0.011132,0.011132
qt,0.011268,0.011268
qt,0.011218,0.011218
qt,0.011232,0.011232
qt,0.0112,0.0112
qt,0.011252,0.011252
qt,0.011166,0.011166
qt,0.011095,0.011095
qt,0.011238,0.011238
qt,0.011304,0.011304
qt,0.011242,0.011242
qt,0.011238,0.011238
qt,0.011329,0.011329
qt,0.011342,0.011342
qt,0.011326,0.011326
qt,0.010814,0.010814
qt,0.01122,0.01122
qt,0.011328,0.011328
qt,0.011218,0.011218
qt,0.011256,0.011256
qt,0.011226,0.011226
qt,0.011188,0.011188
qt,0.011138,0.011138
qt,0.01111,0.01111
qt,0.011134,0.011134
qt,0.011218,0.011218
qt,0.011301,0.011301
qt,0.011076,0.011076
qt,0.011119,0.011119
qt,0.01115,0.01115
qt,0.011091,0.011091
qt,0.011317,0.011317
qt,0.011305,0.011305
qt,0.0096,0.0096
qt,0.011294,0.011294
qt,0.011119,0.011119
qt,0.011168,0.011168
qt,0.011172,0.011172
qt,0.011216,0.011216
qt,0.011249,0.011249
qt,0.011293,0.011293
qt,0.011178,0.011178
qt,0.01126,0.01126
qt,0.011233,0.011233
qt,0.011202,0.011202
qt,0.011229,0.011229
qt,0.011246,0.011246
qt,0.011195,0.011195
qt,0.011329,0.011329
qt,0.011175,0.011175
qt,0.011222,0.011222
qt,0.011127,0.011127
qt,0.011236,0.011236
qt,0.011204,0.011204
qt,0.011166,0.011166
qt,0.011237,0.011237
qt,0.011322,0.011322
qt,0.011223,0.011223
qt,0.011252,0.011252
qt,0.011087,0.011087
qt,0.011271,0.011271
qt,0.011185,0.011185
qt,0.011203,0.011203
qt,0.011091,0.011091
qt,0.011313,0.011313
qt,0.011196,0.011196
qt,0.011158,0.011158
qt,0.011035,0.011035
qt,0.011156,0.011156
qt,0.011259,0.011259
qt,0.011116,0.011116
qt,0.011035,0.011035
qt,0.011162,0.011162
qt,0.011183,0.011183
qt,0.011178,0.011178
qt,0.011147,0.011147
qt,0.011159,0.011159
qt,0.011261,0.011261
qt,0.011056,0.011056
qt,0.011062,0.011062
qt,0.011142,0.011142
qt,0.011106,0.011106
qt,0.011197,0.011197
qt,0.011074,0.011074
qt,0.010978,0.010978
qt,0.011,0.011
qt,0.010953,0.010953
qt,0.011143,0.011143
qt,0.011234,0.011234
qt,0.011208,0.011208
qt,0.011094,0.011094
qt,0.011086,0.011086
qt,0.011262,0.011262
qt,0.011172,0.011172
qt,0.011095,0.011095
qt,0.011045,0.011045
qt,0.01121,0.01121
qt,0.0111,0.0111
qt,0.011159,0.011159
qt,0.01113,0.01113
qt,0.011106,0.011106
qt,0.011056,0.011056
qt,0.011129,0.011129
qt,0.011174,0.011174
qt,0.011006,0.011006
qt,0.011115,0.011115
qt,0.011143,0.011143
qt,0.011069,0.011069
qt,0.011122,0.011122
qt,0.011035,0.011035
qt,0.011117,0.011117
qt,0.011197,0.011197
qt,0.011039,0.011039
qt,0.011265,0.011265
qt,0.011111,0.011111
qt,0.0112,0.0112
qt,0.010999,0.010999
qt,0.011061,0.011061
qt,0.011118,0.011118
qt,0.011023,0.011023
qt,0.01117,0.01117
qt,0.011162,0.011162
qt,0.011226,0.011226
qt,0.011072,0.011072
qt,0.011142,0.011142
qt,0.011299,0.011299
qt,0.011208,0.011208
qt,0.011192,0.011192
qt,0.011262,0.011262
qt,0.011158,0.011158
qt,0.0112,0.0112
qt,0.011096,0.011096
qt,0.011057,0.011057
qt,0.011176,0.011176
qt,0.011105,0.011105
qt,0.011161,0.011161
qt,0.011156,0.011156
qt,0.011122,0.011122
qt,0.011075,0.011075
qt,0.0111,0.0111
qt,0.011321,0.011321
qt,0.011034,0.011034
qt,0.011241,0.011241
qt,0.011316,0.011316
qt,0.011291,0.011291
qt,0.011084,0.011084
qt,0.01125,0.01125
qt,0.011398,0.011398
qt,0.011232,0.011232
qt,0.011146,0.011146
qt,0.011166,0.011166
qt,0.011361,0.011361
qt,0.011383,0.011383
qt,0.01114,0.01114
qt,0.011313,0.011313
qt,0.011295,0.011295
qt,0.011294,0.011294
qt,0.01115,0.01115
qt,0.011259,0.011259
qt,0.011285,0.011285
qt,0.011201,0.011201
qt,0.011261,0.011261
qt,0.011349,0.011349
qt,0.011274,0.011274
qt,0.011297,0.011297
qt,0.011321,0.011321
qt,0.01142,0.01142
qt,0.011222,0.011222
qt,0.011222,0.011222
qt,0.011254,0.011254
qt,0.011384,0.011384
qt,0.011199,0.011199
qt,0.011238,0.011238
qt,0.011216,0.011216
qt,0.01116,0.01116
qt,0.009948,0.009948
qt,0.011172,0.011172
qt,0.011187,0.011187
qt,0.011349,0.011349
