dataset,axprtimeinst,axprtime,cxprtimeinst,cxprtime
openstack,0.002394,0.002394,0.004037,0.000673
openstack,0.004482,0.002241,0.005442,0.00068
openstack,0.002347,0.002347,0.003979,0.000663
openstack,0.004346,0.002173,0.005149,0.000736
openstack,0.004239,0.002119,0.00441,0.000735
openstack,0.002391,0.002391,0.004762,0.00068
openstack,0.00438,0.00219,0.005396,0.000675
openstack,0.002527,0.002527,0.004891,0.000699
openstack,0.008028,0.002007,0.006407,0.000915
openstack,0.002482,0.002482,0.005111,0.000639
openstack,0.00241,0.00241,0.003962,0.00066
openstack,0.0043,0.00215,0.004097,0.000683
openstack,0.002457,0.002457,0.004036,0.000673
openstack,0.020068,0.001824,0.016446,0.001028
openstack,0.009674,0.001935,0.007792,0.000866
openstack,0.002367,0.002367,0.003955,0.000659
openstack,0.013232,0.00189,0.014978,0.000999
openstack,0.006391,0.00213,0.005411,0.000773
openstack,0.006485,0.002162,0.007978,0.000798
openstack,0.004298,0.002149,0.005335,0.000762
openstack,0.008024,0.002006,0.009799,0.00098
openstack,0.004281,0.00214,0.004267,0.000711
openstack,0.015477,0.001935,0.017312,0.000911
openstack,0.024426,0.001628,0.014148,0.001179
openstack,0.006328,0.002109,0.007628,0.000848
openstack,0.00239,0.00239,0.006405,0.000641
openstack,0.002294,0.002294,0.003274,0.000655
openstack,0.002329,0.002329,0.003961,0.00066
openstack,0.00241,0.00241,0.004022,0.00067
openstack,0.006144,0.002048,0.00616,0.00077
openstack,0.019931,0.001812,0.016507,0.001032
openstack,0.002363,0.002363,0.003963,0.000661
openstack,0.002361,0.002361,0.003944,0.000657
openstack,0.00233,0.00233,0.003946,0.000658
openstack,0.002359,0.002359,0.004059,0.000677
openstack,0.002422,0.002422,0.004646,0.000664
openstack,0.01169,0.001948,0.009402,0.00094
openstack,0.026508,0.001767,0.024362,0.00116
openstack,0.021086,0.001917,0.021846,0.000993
openstack,0.002334,0.002334,0.003963,0.000661
openstack,0.016593,0.001844,0.014062,0.001082
openstack,0.012877,0.00184,0.009114,0.000911
openstack,0.002289,0.002289,0.003979,0.000663
openstack,0.002308,0.002308,0.003914,0.000652
openstack,0.004292,0.002146,0.003521,0.000704
openstack,0.008295,0.002074,0.006785,0.000754
openstack,0.015234,0.001904,0.012981,0.000999
openstack,0.002388,0.002388,0.006588,0.000659
openstack,0.007966,0.001991,0.007232,0.000904
openstack,0.008295,0.002074,0.008692,0.00079
openstack,0.013396,0.001914,0.016015,0.001001
openstack,0.002367,0.002367,0.004027,0.000671
openstack,0.002334,0.002334,0.003939,0.000656
openstack,0.002423,0.002423,0.004093,0.000682
openstack,0.002386,0.002386,0.004036,0.000673
openstack,0.006338,0.002113,0.005275,0.000754
openstack,0.002374,0.002374,0.004623,0.00066
openstack,0.002358,0.002358,0.004092,0.000682
openstack,0.002327,0.002327,0.003352,0.00067
openstack,0.004353,0.002176,0.005048,0.000721
openstack,0.002334,0.002334,0.002421,0.000403
openstack,0.016224,0.001803,0.012386,0.001032
openstack,0.009518,0.001904,0.005786,0.000827
openstack,0.006162,0.002054,0.005248,0.00075
openstack,0.004301,0.00215,0.005112,0.00073
openstack,0.01125,0.001875,0.009313,0.001164
openstack,0.004235,0.002118,0.005065,0.000724
openstack,0.010142,0.002028,0.01212,0.000866
openstack,0.006187,0.002062,0.005994,0.000856
openstack,0.002395,0.002395,0.004006,0.000668
openstack,0.004251,0.002126,0.004249,0.000708
openstack,0.002376,0.002376,0.004537,0.000648
openstack,0.004362,0.002181,0.004181,0.000697
openstack,0.019652,0.001638,0.014974,0.001152
openstack,0.013217,0.001888,0.011216,0.000935
openstack,0.007854,0.001964,0.004915,0.000819
openstack,0.004309,0.002154,0.003682,0.000736
openstack,0.002489,0.002489,0.003534,0.000707
openstack,0.002343,0.002343,0.003395,0.000679
openstack,0.011861,0.001977,0.008128,0.000813
openstack,0.002292,0.002292,0.003931,0.000655
openstack,0.006208,0.002069,0.005892,0.000737
openstack,0.006232,0.002077,0.005923,0.00074
openstack,0.008013,0.002003,0.00537,0.000767
openstack,0.0062,0.002067,0.005563,0.000795
openstack,0.023152,0.001654,0.015558,0.001037
openstack,0.006186,0.002062,0.006165,0.000771
openstack,0.024113,0.001722,0.022587,0.001129
openstack,0.00449,0.002245,0.008146,0.000679
openstack,0.002358,0.002358,0.003965,0.000661
openstack,0.006196,0.002065,0.007622,0.000693
openstack,0.004345,0.002172,0.004696,0.000671
openstack,0.016937,0.001882,0.013711,0.000979
openstack,0.006632,0.002211,0.008955,0.000689
openstack,0.009904,0.001981,0.011451,0.000954
openstack,0.018725,0.001872,0.01444,0.001031
openstack,0.009935,0.001987,0.006956,0.000773
openstack,0.002367,0.002367,0.002995,0.000499
openstack,0.002511,0.002511,0.004044,0.000674
openstack,0.004377,0.002189,0.007003,0.000778
openstack,0.002395,0.002395,0.004665,0.000666
openstack,0.010288,0.002058,0.014267,0.000793
openstack,0.010453,0.002091,0.012746,0.000797
openstack,0.012306,0.002051,0.0142,0.000835
openstack,0.019147,0.001741,0.014312,0.000954
openstack,0.004387,0.002194,0.005632,0.000704
