dataset,rtimeinst,rtime
qt,0.408051,0.408051
qt,0.212035,0.212035
qt,0.365663,0.365663
qt,0.389019,0.389019
qt,0.299882,0.299882
qt,0.353629,0.353629
qt,0.351133,0.351133
qt,0.511514,0.511514
qt,0.544428,0.544428
qt,0.457172,0.457172
qt,0.380847,0.380847
qt,0.573438,0.573438
qt,0.570618,0.570618
qt,0.530789,0.530789
qt,0.881351,0.881351
qt,0.491263,0.491263
qt,0.53182,0.53182
qt,0.259854,0.259854
qt,0.41969,0.41969
qt,0.365294,0.365294
qt,0.486603,0.486603
qt,0.541994,0.541994
qt,0.478253,0.478253
qt,2.566427,2.566427
qt,0.442538,0.442538
qt,0.53694,0.53694
qt,0.544314,0.544314
qt,0.561738,0.561738
qt,2.918806,2.918806
qt,0.436149,0.436149
qt,0.482657,0.482657
qt,0.451224,0.451224
qt,0.478368,0.478368
qt,0.387941,0.387941
qt,0.473178,0.473178
qt,0.203421,0.203421
qt,0.320844,0.320844
qt,0.352513,0.352513
qt,0.82199,0.82199
qt,0.603218,0.603218
qt,0.489835,0.489835
qt,0.354416,0.354416
qt,0.473413,0.473413
qt,0.473673,0.473673
qt,0.200275,0.200275
qt,0.455632,0.455632
qt,0.522942,0.522942
qt,0.53837,0.53837
qt,0.494775,0.494775
qt,0.525535,0.525535
qt,1.641659,1.641659
qt,0.464245,0.464245
qt,0.293676,0.293676
qt,0.448542,0.448542
qt,0.462727,0.462727
qt,0.284838,0.284838
qt,0.370482,0.370482
qt,0.222457,0.222457
qt,0.613871,0.613871
qt,0.535919,0.535919
qt,0.452628,0.452628
qt,0.175964,0.175964
qt,0.504752,0.504752
qt,0.630994,0.630994
qt,0.582116,0.582116
qt,0.492371,0.492371
qt,0.18539,0.18539
qt,0.340249,0.340249
qt,0.774519,0.774519
qt,0.56022,0.56022
qt,0.540166,0.540166
qt,0.313336,0.313336
qt,0.406063,0.406063
qt,0.653732,0.653732
qt,0.597455,0.597455
qt,0.342196,0.342196
qt,0.494346,0.494346
qt,0.433865,0.433865
qt,0.498776,0.498776
qt,0.679574,0.679574
qt,0.522759,0.522759
qt,0.518538,0.518538
qt,0.502,0.502
qt,0.618559,0.618559
qt,0.522884,0.522884
qt,0.344549,0.344549
qt,0.216477,0.216477
qt,0.506214,0.506214
qt,0.46591,0.46591
qt,0.521002,0.521002
qt,0.523486,0.523486
qt,0.207136,0.207136
qt,0.206715,0.206715
qt,0.375576,0.375576
qt,0.552604,0.552604
qt,0.525227,0.525227
qt,0.32615,0.32615
qt,3.956891,3.956891
qt,0.354932,0.354932
qt,0.318704,0.318704
qt,0.238937,0.238937
