dataset,rtimeinst,rtime
openstack,0.024354,0.024354
openstack,0.023779,0.023779
openstack,0.028774,0.028774
openstack,0.032717,0.032717
openstack,0.02731,0.02731
openstack,0.023905,0.023905
openstack,0.029723,0.029723
openstack,0.034434,0.034434
openstack,0.031056,0.031056
openstack,0.024646,0.024646
openstack,0.023981,0.023981
openstack,0.024034,0.024034
openstack,0.027682,0.027682
openstack,0.030162,0.030162
openstack,0.031183,0.031183
openstack,0.024462,0.024462
openstack,0.0237,0.0237
openstack,0.025179,0.025179
openstack,0.023117,0.023117
openstack,0.025777,0.025777
openstack,0.035918,0.035918
openstack,0.023095,0.023095
openstack,0.031818,0.031818
openstack,0.033862,0.033862
openstack,0.022362,0.022362
openstack,0.033202,0.033202
openstack,0.033764,0.033764
openstack,0.036228,0.036228
openstack,0.03516,0.03516
openstack,0.028223,0.028223
openstack,0.022479,0.022479
openstack,0.024298,0.024298
openstack,0.030688,0.030688
openstack,0.023762,0.023762
openstack,0.027747,0.027747
openstack,0.030712,0.030712
openstack,0.027734,0.027734
openstack,0.022946,0.022946
openstack,0.030883,0.030883
openstack,0.026788,0.026788
openstack,0.022633,0.022633
openstack,0.029119,0.029119
openstack,0.030866,0.030866
openstack,0.03052,0.03052
openstack,0.032537,0.032537
openstack,0.023515,0.023515
openstack,0.034111,0.034111
openstack,0.023634,0.023634
openstack,0.023117,0.023117
openstack,0.024267,0.024267
openstack,0.033177,0.033177
openstack,0.024411,0.024411
openstack,0.024078,0.024078
openstack,0.02803,0.02803
openstack,0.025459,0.025459
openstack,0.036107,0.036107
openstack,0.023266,0.023266
openstack,0.033305,0.033305
openstack,0.021739,0.021739
openstack,0.030596,0.030596
openstack,0.037744,0.037744
openstack,0.022871,0.022871
openstack,0.030124,0.030124
openstack,0.023961,0.023961
openstack,0.023144,0.023144
openstack,0.028261,0.028261
openstack,0.025675,0.025675
openstack,0.03415,0.03415
openstack,0.022348,0.022348
openstack,0.028985,0.028985
openstack,0.029369,0.029369
openstack,0.029924,0.029924
openstack,0.02456,0.02456
openstack,0.031032,0.031032
openstack,0.032963,0.032963
openstack,0.025578,0.025578
openstack,0.023472,0.023472
openstack,0.034523,0.034523
openstack,0.029939,0.029939
openstack,0.025702,0.025702
openstack,0.031804,0.031804
openstack,0.023206,0.023206
openstack,0.023061,0.023061
openstack,0.035193,0.035193
openstack,0.035887,0.035887
openstack,0.033612,0.033612
openstack,0.028253,0.028253
openstack,0.031268,0.031268
openstack,0.023153,0.023153
openstack,0.023181,0.023181
openstack,0.025113,0.025113
openstack,0.026639,0.026639
openstack,0.029327,0.029327
openstack,0.023582,0.023582
openstack,0.036503,0.036503
openstack,0.023168,0.023168
openstack,0.032111,0.032111
openstack,0.026728,0.026728
openstack,0.030718,0.030718
openstack,0.023178,0.023178
openstack,0.023067,0.023067
openstack,0.024561,0.024561
openstack,0.031937,0.031937
openstack,0.023578,0.023578
openstack,0.034795,0.034795
openstack,0.023376,0.023376
openstack,0.028799,0.028799
openstack,0.025512,0.025512
openstack,0.031095,0.031095
openstack,0.023713,0.023713
openstack,0.036055,0.036055
openstack,0.023764,0.023764
openstack,0.024084,0.024084
openstack,0.02536,0.02536
openstack,0.023184,0.023184
openstack,0.022693,0.022693
openstack,0.025452,0.025452
openstack,0.031359,0.031359
openstack,0.028513,0.028513
openstack,0.0243,0.0243
openstack,0.024799,0.024799
openstack,0.024665,0.024665
openstack,0.033786,0.033786
openstack,0.024606,0.024606
openstack,0.034105,0.034105
openstack,0.032334,0.032334
openstack,0.023924,0.023924
openstack,0.028802,0.028802
openstack,0.026601,0.026601
openstack,0.034197,0.034197
openstack,0.026816,0.026816
openstack,0.030447,0.030447
openstack,0.027193,0.027193
openstack,0.023584,0.023584
openstack,0.029535,0.029535
openstack,0.031585,0.031585
openstack,0.027459,0.027459
openstack,0.031073,0.031073
openstack,0.031572,0.031572
openstack,0.033836,0.033836
openstack,0.034541,0.034541
openstack,0.029071,0.029071
openstack,0.029635,0.029635
openstack,0.03441,0.03441
openstack,0.035653,0.035653
openstack,0.030441,0.030441
openstack,0.035097,0.035097
openstack,0.031733,0.031733
openstack,0.034786,0.034786
openstack,0.031144,0.031144
openstack,0.030481,0.030481
openstack,0.033841,0.033841
openstack,0.024549,0.024549
openstack,0.028931,0.028931
openstack,0.028562,0.028562
openstack,0.026153,0.026153
openstack,0.026742,0.026742
openstack,0.02243,0.02243
openstack,0.03313,0.03313
openstack,0.029953,0.029953
openstack,0.023445,0.023445
openstack,0.032,0.032
openstack,0.025153,0.025153
openstack,0.022968,0.022968
openstack,0.022833,0.022833
openstack,0.024465,0.024465
openstack,0.025631,0.025631
openstack,0.029464,0.029464
openstack,0.024203,0.024203
openstack,0.026589,0.026589
openstack,0.03133,0.03133
openstack,0.024897,0.024897
openstack,0.02405,0.02405
openstack,0.024648,0.024648
openstack,0.038039,0.038039
openstack,0.029342,0.029342
openstack,0.025201,0.025201
openstack,0.022768,0.022768
openstack,0.025807,0.025807
openstack,0.024131,0.024131
openstack,0.03119,0.03119
openstack,0.040168,0.040168
qt,0.04502,0.04502
qt,0.04105,0.04105
qt,0.03964,0.03964
qt,0.053601,0.053601
qt,0.04254,0.04254
qt,0.042537,0.042537
qt,0.043155,0.043155
qt,0.042706,0.042706
qt,0.043693,0.043693
qt,0.043886,0.043886
qt,0.054469,0.054469
qt,0.045457,0.045457
qt,0.042837,0.042837
qt,0.041106,0.041106
qt,0.042694,0.042694
qt,0.058858,0.058858
qt,0.048356,0.048356
qt,0.047488,0.047488
qt,0.044267,0.044267
qt,0.046859,0.046859
qt,0.039529,0.039529
qt,0.042209,0.042209
qt,0.050061,0.050061
qt,0.046545,0.046545
qt,0.042317,0.042317
qt,0.037705,0.037705
qt,0.040314,0.040314
qt,0.041507,0.041507
qt,0.039441,0.039441
qt,0.042976,0.042976
qt,0.050838,0.050838
qt,0.042208,0.042208
qt,0.054179,0.054179
qt,0.037776,0.037776
qt,0.042001,0.042001
qt,0.038295,0.038295
qt,0.037545,0.037545
qt,0.043278,0.043278
qt,0.036985,0.036985
qt,0.033075,0.033075
qt,0.036547,0.036547
qt,0.03751,0.03751
qt,0.040163,0.040163
qt,0.039787,0.039787
qt,0.041759,0.041759
qt,0.040013,0.040013
qt,0.038689,0.038689
qt,0.041412,0.041412
qt,0.048251,0.048251
qt,0.039109,0.039109
qt,0.041397,0.041397
qt,0.037449,0.037449
qt,0.046103,0.046103
qt,0.040426,0.040426
qt,0.038572,0.038572
qt,0.037895,0.037895
qt,0.041865,0.041865
qt,0.049127,0.049127
qt,0.040997,0.040997
qt,0.041513,0.041513
qt,0.040415,0.040415
qt,0.042739,0.042739
qt,0.049764,0.049764
qt,0.038285,0.038285
qt,0.043884,0.043884
qt,0.043796,0.043796
qt,0.041883,0.041883
qt,0.037645,0.037645
qt,0.040907,0.040907
qt,0.038907,0.038907
qt,0.041476,0.041476
qt,0.036334,0.036334
qt,0.042228,0.042228
qt,0.039634,0.039634
qt,0.039639,0.039639
qt,0.040701,0.040701
qt,0.037715,0.037715
qt,0.038432,0.038432
qt,0.03984,0.03984
qt,0.051054,0.051054
qt,0.039878,0.039878
qt,0.041107,0.041107
qt,0.044703,0.044703
qt,0.039581,0.039581
qt,0.043667,0.043667
qt,0.038044,0.038044
qt,0.040102,0.040102
qt,0.040957,0.040957
qt,0.043985,0.043985
qt,0.043717,0.043717
qt,0.04717,0.04717
qt,0.044857,0.044857
qt,0.04315,0.04315
qt,0.048475,0.048475
qt,0.038495,0.038495
qt,0.053451,0.053451
qt,0.043984,0.043984
qt,0.044225,0.044225
qt,0.042884,0.042884
qt,0.040288,0.040288
qt,0.045984,0.045984
qt,0.041789,0.041789
qt,0.03637,0.03637
qt,0.043697,0.043697
qt,0.040474,0.040474
qt,0.041825,0.041825
qt,0.040109,0.040109
qt,0.047573,0.047573
qt,0.042317,0.042317
qt,0.043067,0.043067
qt,0.038571,0.038571
qt,0.047541,0.047541
qt,0.038778,0.038778
qt,0.042618,0.042618
qt,0.038164,0.038164
qt,0.040896,0.040896
qt,0.041851,0.041851
qt,0.057495,0.057495
qt,0.051402,0.051402
qt,0.043074,0.043074
qt,0.041235,0.041235
qt,0.042467,0.042467
qt,0.037756,0.037756
qt,0.042464,0.042464
qt,0.051671,0.051671
qt,0.040265,0.040265
qt,0.038759,0.038759
qt,0.04025,0.04025
qt,0.038957,0.038957
qt,0.044485,0.044485
qt,0.036624,0.036624
qt,0.061353,0.061353
qt,0.044562,0.044562
qt,0.043948,0.043948
qt,0.038936,0.038936
qt,0.042446,0.042446
qt,0.040547,0.040547
qt,0.052131,0.052131
qt,0.039533,0.039533
qt,0.0416,0.0416
qt,0.039015,0.039015
qt,0.042287,0.042287
qt,0.038323,0.038323
qt,0.037705,0.037705
qt,0.037668,0.037668
qt,0.044982,0.044982
qt,0.043172,0.043172
qt,0.050904,0.050904
qt,0.044482,0.044482
qt,0.042729,0.042729
qt,0.038758,0.038758
qt,0.040275,0.040275
qt,0.042556,0.042556
qt,0.04487,0.04487
