dataset,inst,f2imprt,error,tau,rbo
openstack,la = 53.0 AND nd = 4.0 AND ns = 1.0 AND ent = 0.9877359431019634 AND nrev = 5.0 AND rtime = 14.482893518518518 AND self = 0.0 AND ndev = 21.0 AND age = 8.599675925925926 AND app = 5.0 AND rrexp = 1678.0 AND asawr = 0.0507425742574257 AND rsawr = 0.2966760961810467,"{0: 0.0038485297193381653, 5: 0.0696132408560996, 9: 0.36036995479480666, 1: 0.02297874244412116, 2: 0.0180896231475855, 3: 0.06684152389624082, 4: 0.16598315551127166, 6: 0.0009339256458811051, 7: 0.0113722353157989, 8: 0.01943630041383345, 10: 0.2952708597817069, 11: 0.0007164516308712367, 12: 0.002451903832447567}",5.614008661811056,-0.1282051282051282,0.5317784124773064
qt,la = 327.0 AND ld = 598.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.4892513356714998 AND nrev = 18.0 AND rtime = 6.506805555555555 AND hcmt = 3.0 AND self = 0.0 AND ndev = 20.0 AND age = 0.2476350308641975 AND app = 1.0 AND asexp = 625.0 AND rsexp = 1757.0 AND asawr = 0.044628217010052 AND rsawr = 0.1253297212518714,"{0: 0.04249552759746881, 3: 0.011011505498844332, 4: 0.00017056368555779747, 5: 1.3994577942954047, 6: 0.008631602969612035, 8: 0.0008889861963331942, 9: 0.14457919684720288, 10: 0.23026262472232698, 11: 0.0026708069078597903, 14: 0.00010696455127962312, 1: 0.0262292369348552, 2: 0.001399628737018897, 7: 0.026550618844893088, 12: 0.013721619376171848, 13: 0.43480667237296233, 15: 2.4511406014278567e-05}",5.6562007959196245,-0.21666666666666667,0.44449979757588753
openstack,la = 0.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.7330555555555556 AND self = 0.0 AND ndev = 1.0 AND age = 1.0854513888888888 AND app = 4.0 AND rrexp = 836.0 AND asawr = 0.1177170035671819 AND rsawr = 0.901307966706302,"{0: 0.05347677184219042, 1: 0.02391665029898324, 3: 0.05164330174816878, 4: 0.2919014114163742, 5: 0.03809062020804307, 9: 0.1755648497718289, 10: 0.05949742163811534, 12: 0.004867184844825727, 2: 0.0180896231475855, 6: 0.0009339256458811051, 7: 0.02725524553339513, 8: 0.12018776030231906, 11: 5.186434217163079e-05}",4.563149052359598,-0.10256410256410256,0.510945079143973
qt,la = 1.0 AND ld = 0.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.6499421296296296 AND hcmt = 2.0 AND self = 0.0 AND ndev = 9.0 AND age = 132.92717592592592 AND app = 3.0 AND asexp = 604.0 AND rsexp = 1592.0 AND asawr = 0.0431065194157463 AND rsawr = 0.1135019593872461,"{0: 0.00961288283198591, 4: 0.0051317449970620065, 5: 0.10343434108184607, 7: 0.060589873774243214, 9: 0.030958459369047845, 10: 2.0755077089827183, 11: 0.0035403719476280937, 12: 0.012998595321121893, 13: 0.3763153625784649, 1: 0.0004374586686800685, 2: 0.0022836047814518857, 3: 0.011011505498844332, 6: 0.022719259079649053, 8: 0.0008889861963331942, 14: 0.00011307060952591006, 15: 2.7872288174799158e-05}",4.7486116539153445,-0.05,0.44554006570604626
openstack,la = 2.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 6.817581018518518 AND self = 0.0 AND ndev = 5.0 AND age = 13.55564814814815 AND app = 3.0 AND rrexp = 370.0 AND asawr = 0.0378250591016548 AND rsawr = 0.5508274231678487,"{0: 0.05160400798849789, 1: 0.02391665029898324, 3: 0.05164330174816878, 4: 0.06295912795255129, 5: 0.052039889174634646, 8: 0.04701386142183624, 10: 0.2558418624239077, 12: 0.0006246063390178109, 2: 0.0180896231475855, 6: 0.0009339256458811051, 7: 0.024078643489875887, 9: 0.009240255251148854, 11: 0.000844632138903715}",4.814689043226702,0.28205128205128205,0.48599596062314765
qt,la = 51.0 AND ld = 0.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 0.0 AND rtime = 0.0 AND hcmt = 0.0 AND self = 1.0 AND ndev = 0.0 AND age = 0.0 AND app = 0.0 AND asexp = 0.0 AND rsexp = 0.0 AND asawr = 0.0 AND rsawr = 0.0,"{0: 0.0016207953428057388, 4: 0.0051317449970620065, 5: 0.19183976080991966, 7: 0.12866838363294344, 8: 0.007192706497604935, 9: 0.1745801780914348, 1: 0.0004374586686800685, 2: 0.0022836047814518857, 3: 0.011011505498844332, 6: 0.024282580698711698, 10: 0.23456614811335533, 11: 0.005776396335603733, 12: 0.00779695369079108, 13: 0.18803715374177715, 14: 0.0002860425057372205, 15: 0.0005305584259626247}",3.9600272076898735,-0.43333333333333335,0.4329613360374259
openstack,la = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.856099537037037 AND self = 0.0 AND ndev = 15.0 AND age = 1.6420833333333331 AND app = 4.0 AND rrexp = 1909.0 AND asawr = 0.1515685583362707 AND rsawr = 0.3507225942897427,"{0: 0.052540389915344154, 1: 0.02391665029898324, 3: 0.05164330174816878, 4: 0.2919014114163742, 5: 0.03837270853240841, 9: 0.1755648497718289, 11: 0.000284044649276509, 2: 0.0180896231475855, 6: 0.0009339256458811051, 7: 0.01613713838107777, 8: 0.1127243845744681, 10: 0.39260040017123066, 12: 0.0017976691954113336}",4.030347594075208,-0.05128205128205128,0.510945079143973
qt,la = 4.0 AND ld = 2.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.6556018518518518 AND hcmt = 2.0 AND self = 0.0 AND ndev = 11.0 AND age = 8.112222222222222 AND app = 1.0 AND asexp = 605.0 AND rsexp = 104.0 AND asawr = 0.0431286029464095 AND rsawr = 0.0074727777382392,"{1: 0.0003482723957585459, 2: 0.0022836047814518857, 3: 0.011011505498844332, 6: 0.022705645612073205, 8: 0.0008889861963331942, 9: 0.0009574781248159209, 10: 0.0935879595076469, 11: 0.0026708069078597903, 13: 0.1511699039319121, 14: 0.00011298199577964553, 15: 0.000497462417752176, 0: 0.0091333575826351, 4: 0.0051317449970620065, 5: 0.10343434108184607, 7: 0.060589873774243214, 12: 0.013033025038029033}",8.064773325317278,-0.11666666666666667,0.39624723413724133
openstack,la = 71.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 7.930729166666667 AND self = 0.0 AND ndev = 4.0 AND age = 1.106886574074074 AND app = 3.0 AND rrexp = 888.0 AND asawr = 0.0023696682464454 AND rsawr = 0.9395734597156398,"{1: 0.02391665029898324, 3: 0.05164330174816878, 4: 0.06295912795255129, 5: 0.05459187174298771, 10: 0.037587741550430355, 12: 0.005330389896143356, 0: 0.013006344963894677, 2: 0.0180896231475855, 6: 0.0009339256458811051, 7: 0.024872794000755698, 8: 0.11990035523613518, 9: 0.009240255251148854, 11: 0.0011964559964728297}",6.17235023091006,-0.3076923076923077,0.510945079143973
qt,la = 1.0 AND ld = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 90.99224537037036 AND hcmt = 4.0 AND self = 0.0 AND ndev = 9.0 AND age = 59.78982638888889 AND app = 2.0 AND asexp = 3.0 AND rsexp = 701.0 AND asawr = 0.0002845759817871 AND rsawr = 0.0499430848036425,"{0: 0.00961288283198591, 4: 0.0051317449970620065, 6: 0.1945832811521188, 9: 0.030958459369047845, 10: 0.8044908686267909, 11: 0.00043478251988415156, 13: 0.060462289688178676, 1: 0.0003928655322193072, 2: 0.0022836047814518857, 3: 0.011011505498844332, 5: 0.07337649837430107, 7: 0.007488636084457033, 8: 0.0008889861963331942, 12: 0.007693664540069658, 14: 0.00028490059848390765, 15: 0.00030936668139108607}",4.201419956205143,-0.25,0.4361664642425541
