dataset,inst,f2imprt,error,tau,rbo
openstack,la = 53.0 AND nd = 4.0 AND ns = 1.0 AND ent = 0.9877359431019634 AND nrev = 5.0 AND rtime = 14.482893518518518 AND self = 0.0 AND ndev = 21.0 AND age = 8.599675925925926 AND app = 5.0 AND rrexp = 1678.0 AND asawr = 0.0507425742574257 AND rsawr = 0.2966760961810467,"{0: 0.011823548715838114, 2: 0.008793387065525167, 3: 0.0023068798814711044, 4: 0.014937303768929268, 5: 0.04903267735327972, 6: 0.00032685187965398655, 8: 0.013224472115325625, 9: 0.028399738459866056, 10: 0.01432076840166701, 11: 0.010696826139646873, 12: 0.0063380958130437644, 1: 0.03152883924842172, 7: 0.008005027423550928}",5.683125925489996,0.10256410256410256,0.5755302264011911
qt,la = 327.0 AND ld = 598.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.4892513356714998 AND nrev = 18.0 AND rtime = 6.506805555555555 AND hcmt = 3.0 AND self = 0.0 AND ndev = 20.0 AND age = 0.2476350308641975 AND app = 1.0 AND asexp = 625.0 AND rsexp = 1757.0 AND asawr = 0.044628217010052 AND rsawr = 0.1253297212518714,"{0: 0.2012654385572341, 1: 0.04185879635810807, 3: 0.015328384533559074, 4: 0.1098697691725556, 5: 0.12896250754107313, 6: 0.023430691784178635, 8: 0.00637566099841024, 9: 0.028080716297859, 10: 0.020111715781829388, 12: 0.024495780391669088, 14: 0.027072724176141493, 15: 0.0023062187952382373, 2: 0.0004215341829103636, 7: 0.01094199457051218, 11: 0.031004210694245558, 13: 0.04312394796467288}",11.04921603568329,-0.21666666666666667,0.44026409168007224
openstack,la = 0.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.7330555555555556 AND self = 0.0 AND ndev = 1.0 AND age = 1.0854513888888888 AND app = 4.0 AND rrexp = 836.0 AND asawr = 0.1177170035671819 AND rsawr = 0.901307966706302,"{1: 0.03262312717099121, 2: 0.0040111116597108774, 6: 0.0001783068763324991, 8: 0.006482383940274303, 9: 0.003925108020848711, 10: 0.0056392616597076995, 11: 0.0065089716507827685, 12: 0.020383972506469946, 0: 0.09922001032355184, 3: 0.06745956070379179, 4: 0.03333402420012135, 5: 0.020904921853507404, 7: 0.00483375215482738}",4.5385855698690145,0.4358974358974359,0.7310747447120143
qt,la = 1.0 AND ld = 0.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.6499421296296296 AND hcmt = 2.0 AND self = 0.0 AND ndev = 9.0 AND age = 132.92717592592592 AND app = 3.0 AND asexp = 604.0 AND rsexp = 1592.0 AND asawr = 0.0431065194157463 AND rsawr = 0.1135019593872461,"{2: 0.004270430996903087, 3: 0.009366310545515262, 6: 0.006406866974821242, 8: 0.002526888266866081, 9: 0.009736457921731017, 10: 0.008738768251041619, 11: 0.001276659284917514, 12: 0.00364733104912375, 13: 0.00655988537277608, 14: 0.006192344272958508, 15: 0.0034916514354972603, 0: 0.0406355661941825, 1: 0.009562614470455628, 4: 0.02251187216051676, 5: 0.03612633886158619, 7: 0.009710548000616654}",6.248921411704838,0.4166666666666667,0.39138786969250267
openstack,la = 2.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 6.817581018518518 AND self = 0.0 AND ndev = 5.0 AND age = 13.55564814814815 AND app = 3.0 AND rrexp = 370.0 AND asawr = 0.0378250591016548 AND rsawr = 0.5508274231678487,"{1: 0.055119583213236185, 2: 0.005574074445758015, 4: 0.007920505864349251, 5: 0.0005227539927727775, 6: 0.00018544970858783928, 8: 0.0049691791795339665, 9: 0.007474206514743855, 11: 0.011328969047754071, 12: 0.000260978942787915, 0: 0.12498956713723601, 3: 0.11056205276974651, 7: 0.0005630957418543403, 10: 0.003241004891206103}",4.430246535791163,0.41025641025641024,0.6749894241225701
qt,la = 51.0 AND ld = 0.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 0.0 AND rtime = 0.0 AND hcmt = 0.0 AND self = 1.0 AND ndev = 0.0 AND age = 0.0 AND app = 0.0 AND asexp = 0.0 AND rsexp = 0.0 AND asawr = 0.0 AND rsawr = 0.0,"{0: 0.024777627597306947, 3: 0.00899483964277124, 5: 0.02219080303654664, 7: 0.0034718075797286474, 9: 0.013037646760424196, 11: 0.02597761389139123, 13: 0.02598185622548044, 1: 0.010520344983301583, 2: 0.0048075900105419575, 4: 0.009115213187185419, 6: 0.07329629653494293, 8: 0.04380415922008069, 10: 0.048162354766155886, 12: 0.010122231259911131, 14: 0.03527662603872841, 15: 0.012327395124821124}",6.451276456448095,0.06666666666666667,0.26649629854402035
openstack,la = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.856099537037037 AND self = 0.0 AND ndev = 15.0 AND age = 1.6420833333333331 AND app = 4.0 AND rrexp = 1909.0 AND asawr = 0.1515685583362707 AND rsawr = 0.3507225942897427,"{1: 0.048068800675537204, 2: 0.004832155490876175, 6: 0.0002182540117064491, 8: 0.0078068892049122955, 9: 0.0045053025225934105, 10: 0.02162567784092971, 11: 0.004571176611789269, 12: 0.0066473668897924654, 0: 0.08413161105647304, 3: 0.07452513392006949, 4: 0.02441970304815186, 5: 0.023322491774924858, 7: 0.0045433757389218956}",4.139152611700402,0.358974358974359,0.6503027427724175
qt,la = 4.0 AND ld = 2.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.6556018518518518 AND hcmt = 2.0 AND self = 0.0 AND ndev = 11.0 AND age = 8.112222222222222 AND app = 1.0 AND asexp = 605.0 AND rsexp = 104.0 AND asawr = 0.0431286029464095 AND rsawr = 0.0074727777382392,"{2: 0.00559623216970067, 3: 0.010712150429949361, 6: 0.0020820510785915756, 8: 0.003765224059279717, 9: 0.004315932308536503, 10: 0.013017930667410837, 11: 0.0006282752026163508, 12: 0.006068912758901206, 13: 0.004016887203017632, 14: 0.012084668823169976, 0: 0.02703306823924322, 1: 0.017103741137373164, 4: 0.06404185285629865, 5: 0.011187081926818792, 7: 0.03170032484070589, 15: 0.0008888730621720242}",7.436792575490787,0.2,0.22590239130269177
openstack,la = 71.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 7.930729166666667 AND self = 0.0 AND ndev = 4.0 AND age = 1.106886574074074 AND app = 3.0 AND rrexp = 888.0 AND asawr = 0.0023696682464454 AND rsawr = 0.9395734597156398,"{0: 0.056460325027728686, 1: 0.05212472861589049, 2: 0.005283862986107124, 4: 0.002876852524386777, 5: 0.013746959364743816, 6: 0.0002373015956254676, 8: 0.011017594327613551, 9: 0.0005055551422265126, 10: 0.03297422073447706, 12: 0.028465347622732225, 3: 0.06887196823239719, 7: 0.018570901866251006, 11: 0.02891653615522955}",4.339441830539343,0.10256410256410256,0.6572455058451019
qt,la = 1.0 AND ld = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 90.99224537037036 AND hcmt = 4.0 AND self = 0.0 AND ndev = 9.0 AND age = 59.78982638888889 AND app = 2.0 AND asexp = 3.0 AND rsexp = 701.0 AND asawr = 0.0002845759817871 AND rsawr = 0.0499430848036425,"{2: 0.003694916536857136, 3: 0.011395402077596373, 5: 0.011282607783564345, 8: 0.0028726674837344034, 9: 0.003962068521086621, 0: 0.05405698636501256, 1: 0.00384080867585908, 4: 0.04229411747439372, 6: 0.0017489648856235363, 7: 0.002364035403049911, 10: 0.008849091864582305, 11: 0.005556956805776281, 12: 0.005767808030400374, 13: 0.005149469633483932, 14: 0.018344760684660743, 15: 0.008234682279373828}",6.912236871997604,0.2833333333333333,0.32388742415237404
